Owner:,HICKS KEN C
Cname:,FOOT LOCKER INC
Google Trends Search Term:,Ken C. Hicks
Google Trends Suggestion:,CEO of Academy, Ltd.
Category:,Reliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,51
2004,Mar,0
2004,Apr,49
2004,May,0
2004,Jun,46
2004,Jul,47
2004,Aug,0
2004,Sep,41
2004,Oct,0
2004,Nov,43
2004,Dec,0
2005,Jan,33
2005,Feb,0
2005,Mar,30
2005,Apr,34
2005,May,61
2005,Jun,0
2005,Jul,31
2005,Aug,29
2005,Sep,27
2005,Oct,0
2005,Nov,26
2005,Dec,0
2006,Jan,88
2006,Feb,23
2006,Mar,40
2006,Apr,21
2006,May,20
2006,Jun,0
2006,Jul,21
2006,Aug,0
2006,Sep,19
2006,Oct,17
2006,Nov,0
2006,Dec,0
2007,Jan,0
2007,Feb,32
2007,Mar,14
2007,Apr,0
2007,May,27
2007,Jun,43
2007,Jul,0
2007,Aug,0
2007,Sep,13
2007,Oct,0
2007,Nov,12
2007,Dec,0
2008,Jan,21
2008,Feb,0
2008,Mar,64
2008,Apr,10
2008,May,11
2008,Jun,11
2008,Jul,21
2008,Aug,11
2008,Sep,10
2008,Oct,18
2008,Nov,10
2008,Dec,19
2009,Jan,18
2009,Feb,0
2009,Mar,9
2009,Apr,9
2009,May,0
2009,Jun,100
2009,Jul,18
2009,Aug,26
2009,Sep,0
2009,Oct,17
2009,Nov,17
2009,Dec,8
2010,Jan,8
2010,Feb,8
2010,Mar,30
2010,Apr,16
2010,May,16
2010,Jun,17
2010,Jul,14
2010,Aug,14
2010,Sep,13
2010,Oct,13
2010,Nov,13
2010,Dec,6
2011,Jan,20
2011,Feb,11
2011,Mar,5
2011,Apr,10
2011,May,10
2011,Jun,20
2011,Jul,15
2011,Aug,28
2011,Sep,9
2011,Oct,26
2011,Nov,13
2011,Dec,17
2012,Jan,16
2012,Feb,12
2012,Mar,8
2012,Apr,20
2012,May,8
2012,Jun,12
2012,Jul,12
2012,Aug,19
2012,Sep,11
2012,Oct,7
2012,Nov,36
2012,Dec,17
2013,Jan,10
2013,Feb,14
2013,Mar,29
2013,Apr,23
2013,May,16
2013,Jun,10
2013,Jul,10
2013,Aug,36
2013,Sep,26
2013,Oct,28
2013,Nov,10
2013,Dec,6
2014,Jan,3
2014,Feb,16
2014,Mar,21
2014,Apr,9
2014,May,16
2014,Jun,22
2014,Jul,25
2014,Aug,10
2014,Sep,10
2014,Oct,13
2014,Nov,24
2014,Dec,34
2015,Jan,10
2015,Feb,3
2015,Mar,13
2015,Apr,24
2015,May,21
2015,Jun,22
2015,Jul,44
2015,Aug,10
2015,Sep,13
2015,Oct,15
2015,Nov,6
2015,Dec,15
2016,Jan,23
2016,Feb,13
2016,Mar,12
2016,Apr,10
2016,May,10
2016,Jun,21
2016,Jul,13
2016,Aug,19
2016,Sep,5
2016,Oct,8
2016,Nov,15
2016,Dec,10
2017,Jan,11
2017,Feb,19
2017,Mar,9
2017,Apr,7
2017,May,29
2017,Jun,20
2017,Jul,8
2017,Aug,9
2017,Sep,5
2017,Oct,7
2017,Nov,14
2017,Dec,12
2018,Jan,7
2018,Feb,0
2018,Mar,7
2018,Apr,14
2018,May,33
2018,Jun,23
2018,Jul,26
2018,Aug,23
2018,Sep,9
2018,Oct,18
2018,Nov,18
2018,Dec,18
2019,Jan,22
2019,Feb,5
2019,Mar,11
2019,Apr,11
2019,May,7
2019,Jun,7
2019,Jul,11
2019,Aug,11
2019,Sep,6
2019,Oct,18
2019,Nov,15
2019,Dec,8
2020,Jan,12
2020,Feb,4
2020,Mar,18
2020,Apr,9
2020,May,16
2020,Jun,9
2020,Jul,10
2020,Aug,15
2020,Sep,13
2020,Oct,21
2020,Nov,6
2020,Dec,30
2021,Jan,14
